question,query
"poisson distribution","Give me a conversation between two people discussing poisson distribution"
"definition of class in C++","Give me a conversation between two people discussing definition of class in C++"
"how to read a file in C++?","Give me a conversation between two people discussing how to read a file in C++?"
"describe the history of computer.","Give me a conversation between two people discussing describe the history of computer."
"what's the definition of CDF?","Give me a conversation between two people discussing what's the definition of CDF?"
"newto's laws","Give me a conversation between two people discussing newto's laws"
"random variables","Give me a conversation between two people discussing random variables"
"the central limit theorem","Give me a conversation between two people discussing the central limit theorem"
"dynamic memory allocation in C","Give me a conversation between two people discussing dynamic memory allocation in C"
"what is a pointer in C++?","Give me a conversation between two people discussing what is a pointer in C++?"